[06:00:59] B0nK333 (8591208b-99cc-3ab3-9ce8-eac59f7a06db): .
[21:59:07] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): .
[22:02:48] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): d
[22:02:51] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): s
[22:04:07] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): s
[22:04:08] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): s
[22:04:09] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): s
[22:04:09] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): s
[22:04:20] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): s
[22:04:22] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): s
[22:04:24] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): s
[22:07:46] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): d
[22:07:50] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): s
[22:08:29] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): d
[22:14:38] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): x
[22:27:10] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): .
[22:31:54] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): x
[22:32:08] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): x
[22:32:20] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): x
[22:32:26] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): d
[22:32:34] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): d
[22:34:16] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): a
[22:34:24] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): a
[22:34:34] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): a
[22:56:20] AETERNAL (2a076cce-e954-3b8a-9aca-88a547c55f73): d
